time_since_epoch_ms,sensor_time_ns,sensor_name,sensor_type,index,value
1476880377177,68800674247826,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377177,68800674247826,LGE Magnetometer,android.sensor.magnetic_field,1,16.34082794189453
1476880377177,68800674247826,LGE Magnetometer,android.sensor.magnetic_field,2,-44.634246826171875
1476880377177,68800688438500,LGE Accelerometer,android.sensor.accelerometer,0,0.7371978759765625
1476880377177,68800688438500,LGE Accelerometer,android.sensor.accelerometer,1,-0.3414459228515625
1476880377179,68800688438500,LGE Accelerometer,android.sensor.accelerometer,2,9.99334716796875
1476880377179,68800673484887,LGE Gyroscope,android.sensor.gyroscope,0,-0.0152130126953125
1476880377179,68800673484887,LGE Gyroscope,android.sensor.gyroscope,1,-0.015045166015625
1476880377179,68800673484887,LGE Gyroscope,android.sensor.gyroscope,2,0.0128021240234375
1476880377179,68800694358910,LGE Magnetometer,android.sensor.magnetic_field,0,1.3134002685546875
1476880377179,68800694358910,LGE Magnetometer,android.sensor.magnetic_field,1,16.34082794189453
1476880377180,68800694358910,LGE Magnetometer,android.sensor.magnetic_field,2,-44.37236785888672
1476880377180,68800708488549,LGE Accelerometer,android.sensor.accelerometer,0,0.7384033203125
1476880377180,68800708488549,LGE Accelerometer,android.sensor.accelerometer,1,-0.318695068359375
1476880377180,68800708488549,LGE Accelerometer,android.sensor.accelerometer,2,9.980178833007813
1476880377180,68800693534936,LGE Gyroscope,android.sensor.gyroscope,0,-0.0085601806640625
1476880377180,68800693534936,LGE Gyroscope,android.sensor.gyroscope,1,6.561279296875E-4
1476880377180,68800693534936,LGE Gyroscope,android.sensor.gyroscope,2,0.015472412109375
1476880377180,68800714500512,LGE Magnetometer,android.sensor.magnetic_field,0,1.3134002685546875
1476880377180,68800714500512,LGE Magnetometer,android.sensor.magnetic_field,1,16.697120666503906
1476880377180,68800714500512,LGE Magnetometer,android.sensor.magnetic_field,2,-44.37236785888672
1476880377182,68800728538598,LGE Accelerometer,android.sensor.accelerometer,0,0.8521270751953125
1476880377182,68800728538598,LGE Accelerometer,android.sensor.accelerometer,1,-0.2983551025390625
1476880377182,68800728538598,LGE Accelerometer,android.sensor.accelerometer,2,9.886795043945313
1476880377182,68800713584985,LGE Gyroscope,android.sensor.gyroscope,0,0.014617919921875
1476880377182,68800713584985,LGE Gyroscope,android.sensor.gyroscope,1,0.0195770263671875
1476880377182,68800713584985,LGE Gyroscope,android.sensor.gyroscope,2,0.0175933837890625
1476880377182,68800734672631,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377182,68800734672631,LGE Magnetometer,android.sensor.magnetic_field,1,16.78619384765625
1476880377182,68800734672631,LGE Magnetometer,android.sensor.magnetic_field,2,-44.37236785888672
1476880377182,68800748588647,LGE Accelerometer,android.sensor.accelerometer,0,0.8437347412109375
1476880377182,68800748588647,LGE Accelerometer,android.sensor.accelerometer,1,-0.323486328125
1476880377182,68800748588647,LGE Accelerometer,android.sensor.accelerometer,2,9.812576293945313
1476880377183,68800733635033,LGE Gyroscope,android.sensor.gyroscope,0,0.0196685791015625
1476880377183,68800733635033,LGE Gyroscope,android.sensor.gyroscope,1,-0.0022735595703125
1476880377183,68800733635033,LGE Gyroscope,android.sensor.gyroscope,2,0.017333984375
1476880377183,68800754814233,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377183,68800754814233,LGE Magnetometer,android.sensor.magnetic_field,1,17.05341339111328
1476880377183,68800754814233,LGE Magnetometer,android.sensor.magnetic_field,2,-44.285011291503906
1476880377183,68800768638696,LGE Accelerometer,android.sensor.accelerometer,0,0.77789306640625
1476880377183,68800768638696,LGE Accelerometer,android.sensor.accelerometer,1,-0.3175048828125
1476880377183,68800768638696,LGE Accelerometer,android.sensor.accelerometer,2,9.700057983398438
1476880377183,68800753685082,LGE Gyroscope,android.sensor.gyroscope,0,0.0298004150390625
1476880377183,68800753685082,LGE Gyroscope,android.sensor.gyroscope,1,0.0078582763671875
1476880377183,68800753685082,LGE Gyroscope,android.sensor.gyroscope,2,0.01654052734375
1476880377183,68800774955834,LGE Magnetometer,android.sensor.magnetic_field,0,1.1341094970703125
1476880377183,68800774955834,LGE Magnetometer,android.sensor.magnetic_field,1,17.23155975341797
